                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.31087,                0.74787,                0.92437,                0.96128,                0.99923,                0.99375,                0.98255,                0.39223,                  1.353,                0.88859,              0.0004387,              0.0004387,              0.0004387
                     37,                0.29058,                 0.7132,                0.98485,                0.96128,                0.99923,                0.99375,                0.98255,                0.39223,                  1.353,                0.88859,             0.00041041,             0.00041041,             0.00041041
                     38,                0.33468,                 1.0201,                 1.0556,                0.98437,                      1,                  0.995,                0.98625,                0.35969,                 1.2411,                0.88511,             0.00038211,             0.00038211,             0.00038211
                     39,                0.32764,                0.95316,                0.93939,                0.98508,                0.99589,                  0.995,                0.96411,                0.30053,                 1.1947,                0.86867,             0.00035382,             0.00035382,             0.00035382
                     40,                0.24055,                0.79347,                0.90889,                 0.9887,                 0.9997,                  0.995,                0.95563,                0.28232,                 1.1619,                0.86145,             0.00032553,             0.00032553,             0.00032553
                     41,                0.45136,                  2.019,                  1.194,                 0.9887,                 0.9997,                  0.995,                0.95563,                0.28232,                 1.1619,                0.86145,             0.00029723,             0.00029723,             0.00029723
                     42,                0.28111,                 1.8584,                0.93321,                0.98793,                      1,                  0.995,                0.98826,                0.25332,                 1.0978,                0.82923,             0.00026894,             0.00026894,             0.00026894
                     43,                0.32395,                 1.7037,                0.96569,                0.98815,                      1,                  0.995,                 0.9872,                0.25006,                 1.0949,                0.81547,             0.00024064,             0.00024064,             0.00024064
                     44,                0.26349,                 1.9016,                0.98576,                0.99309,                      1,                  0.995,                0.98934,                0.27863,                 1.1102,                0.82191,             0.00021235,             0.00021235,             0.00021235
                     45,                0.23202,                 1.2357,                0.97686,                0.99309,                      1,                  0.995,                0.98934,                0.27863,                 1.1102,                0.82191,             0.00018406,             0.00018406,             0.00018406
                     46,                0.22518,                 1.1786,                0.85665,                0.99293,                      1,                  0.995,                0.98967,                0.29129,                 1.1788,                0.82762,             0.00015576,             0.00015576,             0.00015576
                     47,                0.25855,                 1.8835,                0.98665,                0.99117,                      1,                  0.995,                  0.995,                0.28652,                  1.222,                0.82243,             0.00012747,             0.00012747,             0.00012747
                     48,                0.22062,                 1.1528,                0.91683,                0.99013,                      1,                  0.995,                  0.995,                0.27335,                 1.2142,                0.81293,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.25035,                 1.3303,                0.83541,                0.99013,                      1,                  0.995,                  0.995,                0.27335,                 1.2142,                0.81293,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.22511,                 1.2058,                 0.8722,                0.99142,                      1,                  0.995,                  0.995,                0.26415,                 1.1775,                0.80494,             4.2584e-05,             4.2584e-05,             4.2584e-05
